keys,_where,_size,_least,_width,_note,en,qps
BLURB_DOG_STRENGTH,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",The heaviest and biggest pieces the dogs can carry back.,[Thé héávíést áñd bíggést píéçés thé dógs çáñ çárry báçk.·ëxtràlóngëxtràlóngëxtrà]
BLURB_DOG_FETCH,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",How many pieces the dog brings back a trip.,[Hów máñy píéçés thé dóg bríñgs báçk á tríp.·ëxtràlóngëxtràlóng]
BLURB_DOG_WAIT,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".","How long the dog lazes about between trips, at most.","[Hów lóñg thé dóg lázés ábóút bétwééñ tríps, át móst.·ëxtràlóngëxtràlóngëxt]"
BLURB_RECYCLE_BONUS,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".","One yard at a time pays over the odds, and it moves.","[Óñé yárd át á tímé páys óvér thé ódds, áñd ít móvés.·ëxtràlóngëxtràlóngëxt]"
BLURB_BIRD_WORTH,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",What a netted pigeon is worth.,[Whát á ñéttéd pígéóñ ís wórth.·ëxtràlóngëxt]
BLURB_LUCKY_HAUL,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",Odds that a cast lifts one tier heavier and holds more.,[Ódds thát á çást lífts óñé tíér héávíér áñd hólds móré.·ëxtràlóngëxtràlóngëxtr]
BLURB_DOUBLE_CAST,lake.gd,13,11,0,"PLACEHOLDER wording. Shown when hovering the row's ""?"".",Odds that a cast throws a second net beside the first.,[Ódds thát á çást thróws á séçóñd ñét bésídé thé fírst.·ëxtràlóngëxtràlóngëxtr]
SHOP_TIER_PREFIX,lake.gd,13,11,40,"Goes before a number: ""Tier 2 → 3"". Keep the trailing space if your language needs one.",Tier ,[Tíér ·ëx]
SHOP_MAX,lake.gd,16,11,60,Replaces the price on a fully bought upgrade.,Max,[Máx·ëx]
SHOP_LEGEND,lake.gd,13,11,0,,Each material sells at its own yard. Heavier pieces always pay more.,[Éáçh mátéríál sélls át íts ówñ yárd. Héávíér píéçés álwáys páy móré.·ëxtràlóngëxtràlóngëxtràlóngë]
SHOP_BONUS_LINE,shop_skin.gd,13,11,0,"%s is a percent, %d seconds.",Bonus yard: %s for %ds,[Bóñús yárd: %s fór %ds·ëxtràlóng]
HUD_WAITING,hud_skin.gd,13,11,96,Pieces in the island crate waiting for a boat.,Waiting,[Wáítíñg·ëxt]
HUD_UPGRADES,hud_skin.gd,13,11,96,,Upgrades,[Úpgrádés·ëxtr]
HUD_DECORATE,hud_buttons.gd,13,11,96,,Decorate,[Déçóráté·ëxtr]
HUD_PIECES_LEFT_1,lake.gd,16,13,180,,1 piece left,[1 píéçé léft·ëxtrà]
HUD_PIECES_LEFT_N,lake.gd,16,13,180,%d is 2 to 50.,%d pieces left,[%d píéçés léft·ëxtràl]
SHELF_TITLE,shed_room.gd,20,13,220,,Decorate,[Déçóráté·ëxtr]
SHELF_TITLE_N,shed_room.gd,20,13,220,%d is how many pieces are on the shelf.,Decorate  %d,[Déçóráté  %d·ëxtrà]
SHELF_EMPTY,shed_shelf.gd,13,11,220,,Nothing kept yet.,[Ñóthíñg képt yét.·ëxtràló]
LETTER_TITLE,letter.gd,20,16,540,,A letter,[Á léttér·ëxtr]
LETTER_GREETING,letter.gd,13,11,0,"""My Dirty Little Lake"" is the game's name: do not translate it.","Congratulations, you are the new owner of My Dirty Little Lake.","[Çóñgrátúlátíóñs, yóú áré thé ñéw ówñér óf My Dírty Líttlé Láké.·ëxtràlóngëxtràlóngëxtràlón]"
LETTER_NET_HEAD,letter.gd,20,16,540,,Net,[Ñét·ëx]
LETTER_NET_LINE,letter.gd,16,13,540,,Cast your net to catch what floats.,[Çást yóúr ñét tó çátçh whát flóáts.·ëxtràlóngëxtrà]
LETTER_NET_GREEN,letter.gd,13,11,160,,Green: a catch,[Grééñ: á çátçh·ëxtràl]
LETTER_NET_RED,letter.gd,13,11,160,,Red: nothing to lift,[Réd: ñóthíñg tó líft·ëxtràlón]
LETTER_NET_WHITE,letter.gd,13,11,160,,White: out of range,[Whíté: óút óf ráñgé·ëxtràlón]
LETTER_UPGRADES_HEAD,letter.gd,20,16,540,,Upgrades,[Úpgrádés·ëxtr]
LETTER_UPGRADES_L1,letter.gd,16,13,540,First half of one sentence split over two lines.,"Upgrade your net, your boats and your dogs","[Úpgrádé yóúr ñét, yóúr bóáts áñd yóúr dógs·ëxtràlóngëxtràlón]"
LETTER_UPGRADES_L2,letter.gd,16,13,540,Second half of one sentence split over two lines.,to clean and recycle faster.,[tó çléáñ áñd réçyçlé fástér.·ëxtràlóngëxt]
LETTER_WEIGHT_HEAD,letter.gd,20,16,540,,Weight,[Wéíght·ëxt]
LETTER_WEIGHT_L1,letter.gd,16,13,540,,Heavier things sit in five tiers.,[Héávíér thíñgs sít íñ fívé tíérs.·ëxtràlóngëxtrà]
LETTER_WEIGHT_L2,letter.gd,16,13,540,,Strength is the upgrade that lifts the next one.,[Stréñgth ís thé úpgrádé thát lífts thé ñéxt óñé.·ëxtràlóngëxtràlóngëx]
LETTER_WEIGHT_CAP1,letter.gd,13,11,160,,Too heavy,[Tóó héávy·ëxtr]
LETTER_WEIGHT_CAP2,letter.gd,13,11,160,,Buy Strength,[Búy Stréñgth·ëxtrà]
LETTER_DECOR_HEAD,letter.gd,20,16,540,,Decoration,[Déçórátíóñ·ëxtr]
LETTER_DECOR_LINE,letter.gd,16,13,540,,Some catches are furniture for your shed.,[Sómé çátçhés áré fúrñítúré fór yóúr shéd.·ëxtràlóngëxtràlón]
LETTER_DECOR_CAP1,letter.gd,13,11,160,,Catch it,[Çátçh ít·ëxtr]
LETTER_DECOR_CAP2,letter.gd,13,11,160,,Wash it,[Wásh ít·ëxt]
LETTER_DECOR_CAP3,letter.gd,13,11,160,,Place it,[Pláçé ít·ëxtr]
LETTER_START,letter.gd,16,13,180,,Start cleaning,[Stárt çléáñíñg·ëxtràl]
WASH_TITLE,wash_room.gd,20,13,220,,To wash,[Tó wásh·ëxt]
WASH_EMPTY_1,wash_room.gd,13,11,220,,Nothing waiting.,[Ñóthíñg wáítíñg.·ëxtràló]
WASH_EMPTY_2,wash_room.gd,13,11,220,Lines 2 and 3 are one sentence.,Net a find and,[Ñét á fíñd áñd·ëxtràl]
WASH_EMPTY_3,wash_room.gd,13,11,220,Lines 2 and 3 are one sentence.,bring it here.,[bríñg ít héré.·ëxtràl]
END_LINE_1,farewell.gd,26,20,0,,You have cleaned your lake and can now live in peace.,[Yóú hávé çléáñéd yóúr láké áñd çáñ ñów lívé íñ péáçé.·ëxtràlóngëxtràlóngëxtr]
END_LINE_2,farewell.gd,26,20,0,,Thanks for playing!,[Tháñks fór pláyíñg!·ëxtràlón]
END_BACK,farewell.gd,16,13,200,,Back to menu,[Báçk tó méñú·ëxtrà]
MATERIAL_PLASTIC,trash_def.gd,18,8,82,"Painted on a small plank at each pier, in capitals. Shrinks a pixel at a time; keep it short.",Plastic,[Plástíç·ëxt]
MATERIAL_WOOD,trash_def.gd,18,8,82,"Painted on a small plank at each pier, in capitals. Shrinks a pixel at a time; keep it short.",Wood,[Wóód·ëx]
MATERIAL_METAL,trash_def.gd,18,8,82,"Painted on a small plank at each pier, in capitals. Shrinks a pixel at a time; keep it short.",Metal,[Métál·ëx]
MATERIAL_RUBBER,trash_def.gd,18,8,82,"Painted on a small plank at each pier, in capitals. Shrinks a pixel at a time; keep it short.",Rubber,[Rúbbér·ëxt]
TIER_LIGHT,lake.gd,13,11,87,A weight class.,Light,[Líght·ëx]
TIER_SMALL,lake.gd,13,11,87,A weight class.,Small,[Smáll·ëx]
TIER_MEDIUM,lake.gd,13,11,87,A weight class.,Medium,[Médíúm·ëxt]
TIER_HEAVY,lake.gd,13,11,87,A weight class.,Heavy,[Héávy·ëx]
TIER_BULKY,lake.gd,13,11,87,A weight class.,Bulky,[Búlky·ëx]
TROPHY_FOUND,trophy.gd,20,13,500,,New decoration available to wash,[Ñéw déçórátíóñ áváíláblé tó wásh·ëxtràlóngëxtr]
CREDITS_TITLE,credits_board.gd,16,13,0,,Credits,[Çrédíts·ëxt]
CREDITS_HEAD_DESIGN,credits_board.gd,16,13,0,,Design and programming,[Désígñ áñd prógrámmíñg·ëxtràlóng]
CREDITS_HEAD_MUSIC,credits_board.gd,16,13,0,,Music and sound,[Músíç áñd sóúñd·ëxtràl]
CREDITS_HEAD_ART,credits_board.gd,16,13,0,,Art and Assets,[Árt áñd Ásséts·ëxtràl]
CREDITS_HEAD_TOOLS,credits_board.gd,16,13,0,,Tools,[Tóóls·ëx]
CONSOLE_COUNT,console_shelf.gd,16,13,220,Found / total.,CONSOLES   %d / %d,[ÇÓÑSÓLÉS   %d / %d·ëxtràlón]
DECOR_SOFA,pieces.json,13,11,180,A piece of furniture the player finds.,Sofa,[Sófá·ëx]
DECOR_LOVESEAT,pieces.json,13,11,180,A piece of furniture the player finds.,Armchair,[Ármçháír·ëxtr]
DECOR_DINING_CHAIR,pieces.json,13,11,180,A piece of furniture the player finds.,Dining chair,[Díñíñg çháír·ëxtrà]
DECOR_DRESSER,pieces.json,13,11,180,A piece of furniture the player finds.,Dresser,[Dréssér·ëxt]
DECOR_NIGHTSTAND,pieces.json,13,11,180,A piece of furniture the player finds.,Nightstand,[Ñíghtstáñd·ëxtr]
DECOR_BOOKCASE_DRAWERS,pieces.json,13,11,180,A piece of furniture the player finds.,Bookcase,[Bóókçásé·ëxtr]
DECOR_BOOKCASE_TALL,pieces.json,13,11,180,A piece of furniture the player finds.,Tall bookcase,[Táll bóókçásé·ëxtràl]
DECOR_BIG_TABLE,pieces.json,13,11,180,A piece of furniture the player finds.,Dining table,[Díñíñg táblé·ëxtrà]
DECOR_SIDE_DESK,pieces.json,13,11,180,A piece of furniture the player finds.,Side desk,[Sídé désk·ëxtr]
DECOR_KITCHEN_COUNTER,pieces.json,13,11,180,A piece of furniture the player finds.,Kitchen counter,[Kítçhéñ çóúñtér·ëxtràl]
DECOR_TOILET,pieces.json,13,11,180,A piece of furniture the player finds.,Toilet,[Tóílét·ëxt]
DECOR_BIG_RUG,pieces.json,13,11,180,A piece of furniture the player finds.,Big rug,[Bíg rúg·ëxt]
DECOR_OLD_RUG,pieces.json,13,11,180,A piece of furniture the player finds.,Runner rug,[Rúññér rúg·ëxtr]
DECOR_FIREPLACE,pieces.json,13,11,180,A piece of furniture the player finds.,Fireplace,[Fírépláçé·ëxtr]
DECOR_FRIDGE,pieces.json,13,11,180,A piece of furniture the player finds.,Fridge,[Frídgé·ëxt]
DECOR_PET_BED,pieces.json,13,11,180,A piece of furniture the player finds.,Pet bed,[Pét béd·ëxt]
DECOR_BED,pieces.json,13,11,180,A piece of furniture the player finds.,Bed,[Béd·ëx]
DECOR_LAMP,pieces.json,13,11,180,A piece of furniture the player finds.,Table lamp,[Táblé lámp·ëxtr]
DECOR_STANDING_LAMP,pieces.json,13,11,180,A piece of furniture the player finds.,Floor lamp,[Flóór lámp·ëxtr]
DECOR_OLD_CLOCK,pieces.json,13,11,180,A piece of furniture the player finds.,Old clock,[Óld çlóçk·ëxtr]
DECOR_COAT_HANGER,pieces.json,13,11,180,A piece of furniture the player finds.,Coat hanger,[Çóát háñgér·ëxtrà]
DECOR_MIRROR,pieces.json,13,11,180,A piece of furniture the player finds.,Standing mirror,[Stáñdíñg mírrór·ëxtràl]
DECOR_STOVE,pieces.json,13,11,180,A piece of furniture the player finds.,Stove,[Stóvé·ëx]
DECOR_VYNIL_PLAYER,pieces.json,13,11,180,A piece of furniture the player finds.,Record player,[Réçórd pláyér·ëxtràl]
DECOR_BATH_SINK,pieces.json,13,11,180,A piece of furniture the player finds.,Bathroom sink,[Báthróóm síñk·ëxtràl]
DECOR_BATHTUB,pieces.json,13,11,180,A piece of furniture the player finds.,Bathtub,[Báthtúb·ëxt]
DECOR_IRON_BOARD,pieces.json,13,11,180,A piece of furniture the player finds.,Ironing board,[Íróñíñg bóárd·ëxtràl]
DECOR_CENTER_TABLE,pieces.json,13,11,180,A piece of furniture the player finds.,Coffee table,[Çófféé táblé·ëxtrà]
DECOR_GAME_TABLE,pieces.json,13,11,180,A piece of furniture the player finds.,Card table,[Çárd táblé·ëxtr]
DECOR_TINY_BOOKCASE,pieces.json,13,11,180,A piece of furniture the player finds.,Small bookcase,[Smáll bóókçásé·ëxtràl]
DECOR_OVAL_RUG,pieces.json,13,11,180,A piece of furniture the player finds.,Oval rug,[Óvál rúg·ëxtr]
DECOR_FLOWER_POT,pieces.json,13,11,180,A piece of furniture the player finds.,Flower pot,[Flówér pót·ëxtr]
DECOR_PLANT_POT,pieces.json,13,11,180,A piece of furniture the player finds.,Potted plant,[Póttéd pláñt·ëxtrà]
DECOR_PAINTING_A,pieces.json,13,11,180,A piece of furniture the player finds.,Painting,[Páíñtíñg·ëxtr]
DECOR_PAINTING_B,pieces.json,13,11,180,A piece of furniture the player finds.,Landscape,[Láñdsçápé·ëxtr]
DECOR_CHEW_TOY,pieces.json,13,11,180,A piece of furniture the player finds.,Chew toy,[Çhéw tóy·ëxtr]
DECOR_GLOBE,pieces.json,13,11,180,A piece of furniture the player finds.,Globe,[Glóbé·ëx]
DECOR_RUG,pieces.json,13,11,180,A piece of furniture the player finds.,Rug,[Rúg·ëx]
DECOR_AQUARIUM,pieces.json,13,11,180,A piece of furniture the player finds.,Aquarium,[Áqúáríúm·ëxtr]
